epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9826.23,1.3524,0.83668,1.33444,0.86445,0.85176,0.87505,0.59515,1.20179,0.67313,1.26558,0.00131243,0.00131243,0.00131243
43,10063.6,1.35757,0.83971,1.33695,0.87482,0.85258,0.88688,0.60724,1.16589,0.67098,1.25741,0.00130054,0.00130054,0.00130054
44,10293,1.36207,0.84493,1.33715,0.8875,0.859,0.90039,0.61312,1.18537,0.64287,1.26635,0.00128864,0.00128864,0.00128864
45,10520.7,1.35016,0.82825,1.33358,0.85563,0.86323,0.88639,0.60047,1.1985,0.6612,1.27605,0.00127675,0.00127675,0.00127675
46,10748.7,1.33515,0.82395,1.32527,0.87825,0.84889,0.89078,0.60582,1.18776,0.65483,1.25191,0.00126486,0.00126486,0.00126486
47,10976.7,1.33506,0.82542,1.32966,0.8517,0.85988,0.88935,0.60178,1.17154,0.6576,1.25002,0.00125297,0.00125297,0.00125297
48,11212.1,1.32895,0.81717,1.32773,0.87805,0.85521,0.89102,0.60868,1.17078,0.64698,1.25409,0.00124108,0.00124108,0.00124108
49,11445.3,1.32037,0.8081,1.31548,0.87345,0.85433,0.88694,0.60869,1.17792,0.64265,1.25491,0.00122918,0.00122918,0.00122918
50,11675.9,1.32811,0.80178,1.31963,0.88016,0.8529,0.89225,0.61,1.18769,0.64871,1.25812,0.00121729,0.00121729,0.00121729
51,11906.5,1.31896,0.8076,1.31332,0.8722,0.84889,0.88849,0.60439,1.17862,0.65144,1.251,0.0012054,0.0012054,0.0012054
52,12134.3,1.31662,0.79772,1.3089,0.87083,0.85652,0.88733,0.6078,1.17564,0.64605,1.26147,0.00119351,0.00119351,0.00119351
53,12362.7,1.31179,0.80352,1.30772,0.86902,0.86575,0.89374,0.61189,1.18572,0.63463,1.25785,0.00118162,0.00118162,0.00118162
54,12591.2,1.30779,0.79209,1.30571,0.88994,0.84611,0.893,0.6199,1.16776,0.62687,1.25116,0.00116972,0.00116972,0.00116972
55,12819.7,1.29643,0.79008,1.2987,0.88561,0.85785,0.89791,0.61928,1.16631,0.63602,1.24158,0.00115783,0.00115783,0.00115783
56,13048.7,1.30283,0.79228,1.30448,0.87449,0.85201,0.89526,0.61677,1.16012,0.62922,1.24086,0.00114594,0.00114594,0.00114594
57,13277.4,1.29395,0.77798,1.29442,0.87208,0.86514,0.89352,0.60841,1.1721,0.62825,1.24882,0.00113405,0.00113405,0.00113405
58,13506.9,1.28969,0.78568,1.29565,0.87124,0.86793,0.89404,0.61436,1.16717,0.62741,1.24444,0.00112216,0.00112216,0.00112216
59,13732.1,1.29409,0.78213,1.29749,0.87732,0.86051,0.89387,0.61308,1.17477,0.62742,1.2514,0.00111026,0.00111026,0.00111026
60,13961,1.27867,0.77868,1.28465,0.86612,0.86359,0.89317,0.6138,1.17162,0.62217,1.24267,0.00109837,0.00109837,0.00109837
61,14189.1,1.27301,0.76816,1.28059,0.86853,0.87019,0.90086,0.6225,1.15991,0.62197,1.23214,0.00108648,0.00108648,0.00108648
62,14419.8,1.28036,0.77829,1.29083,0.8675,0.87047,0.905,0.62144,1.16178,0.62523,1.23456,0.00107459,0.00107459,0.00107459
63,14648.1,1.27099,0.76426,1.27906,0.87547,0.86752,0.90351,0.61882,1.16283,0.63329,1.23328,0.0010627,0.0010627,0.0010627
64,14878,1.25612,0.7634,1.27508,0.88164,0.86471,0.89847,0.6214,1.15351,0.62287,1.23114,0.0010508,0.0010508,0.0010508
65,15107,1.26058,0.76416,1.27451,0.88271,0.86451,0.90464,0.62256,1.15973,0.61241,1.2441,0.00103891,0.00103891,0.00103891
66,15338.3,1.26421,0.75287,1.279,0.88789,0.86254,0.90182,0.62627,1.163,0.618,1.24377,0.00102702,0.00102702,0.00102702
67,15569.4,1.25964,0.75282,1.27917,0.88513,0.86448,0.90189,0.62352,1.15309,0.61563,1.23746,0.00101513,0.00101513,0.00101513
68,15798,1.26109,0.76052,1.27581,0.88889,0.85802,0.90069,0.62636,1.14209,0.61201,1.22588,0.00100324,0.00100324,0.00100324
69,16028.4,1.2523,0.74986,1.26877,0.89446,0.85357,0.90297,0.6302,1.14226,0.60869,1.22955,0.000991344,0.000991344,0.000991344
70,16258.3,1.24374,0.74578,1.26889,0.89038,0.85847,0.90388,0.63292,1.1406,0.59875,1.2281,0.000979452,0.000979452,0.000979452
71,16485,1.24725,0.74537,1.26027,0.88689,0.85174,0.90013,0.62953,1.14738,0.5983,1.22915,0.00096756,0.00096756,0.00096756
72,16712.8,1.24907,0.74428,1.26501,0.88957,0.84697,0.89742,0.62848,1.14929,0.60007,1.23285,0.000955668,0.000955668,0.000955668
73,16941.9,1.2337,0.74105,1.25737,0.89127,0.84767,0.89771,0.62593,1.15226,0.60084,1.23075,0.000943776,0.000943776,0.000943776
74,17171.4,1.23501,0.74227,1.26178,0.87178,0.86484,0.89846,0.62992,1.14692,0.6052,1.23061,0.000931884,0.000931884,0.000931884
75,17400,1.23794,0.73824,1.26503,0.87773,0.86339,0.89763,0.62865,1.14952,0.60757,1.23009,0.000919992,0.000919992,0.000919992
76,17626.7,1.23804,0.74558,1.2706,0.86569,0.86612,0.899,0.62704,1.15125,0.60674,1.23239,0.0009081,0.0009081,0.0009081
77,17857.2,1.22426,0.73285,1.26085,0.87745,0.86049,0.90026,0.62406,1.14742,0.60415,1.22899,0.000896208,0.000896208,0.000896208
