epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.34,2.14795,2.56558,1.98103,0.00015,0.0769,0.0001,2e-05,nan,nan,nan,0.0769895,0.00186572,0.00186572
2,335.825,2.15326,2.2535,2.04139,0.12083,0.06064,0.03245,0.01448,3.03462,6.59063,3.08212,0.0537906,0.0036668,0.0036668
3,496.744,1.9726,1.91725,1.8991,0.63418,0.37541,0.40121,0.194,2.24906,2.8821,2.13458,0.0305175,0.00539378,0.00539378
4,660.325,1.93126,1.84795,1.8597,0.60806,0.48123,0.48623,0.24915,1.96383,2.21367,1.93657,0.00717043,0.00704667,0.00704667
5,815.825,1.89914,1.75809,1.83297,0.65266,0.37079,0.41738,0.21587,2.04342,3.85206,2.07879,0.0069072,0.0069072,0.0069072
6,979.124,1.84101,1.64502,1.78413,0.89052,0.3907,0.57812,0.31449,1.69878,3.27599,1.76676,0.006759,0.006759,0.006759
7,1148.72,1.79536,1.5689,1.75543,0.76124,0.6191,0.69525,0.37532,1.60962,1.34302,1.70521,0.0066108,0.0066108,0.0066108
8,1310.95,1.76016,1.48302,1.71484,0.67103,0.65204,0.67309,0.3684,1.65888,1.31672,1.74068,0.0064626,0.0064626,0.0064626
9,1474.6,1.73074,1.44059,1.70863,0.70656,0.62413,0.68927,0.37174,1.6575,1.29211,1.6729,0.0063144,0.0063144,0.0063144
10,1635.62,1.69452,1.38337,1.66834,0.77362,0.64757,0.71399,0.39713,1.54553,1.14008,1.6325,0.0061662,0.0061662,0.0061662
11,1801.02,1.68136,1.36059,1.65906,0.80261,0.64733,0.7364,0.41737,1.5114,1.14618,1.59882,0.006018,0.006018,0.006018
12,1963.29,1.66355,1.31872,1.64183,0.73251,0.69385,0.74425,0.43017,1.50754,1.13009,1.56054,0.0058698,0.0058698,0.0058698
13,2126.01,1.64105,1.30185,1.62535,0.79401,0.69279,0.74093,0.43035,1.57929,1.10231,1.64034,0.0057216,0.0057216,0.0057216
14,2288.36,1.62088,1.28129,1.61062,0.8069,0.67453,0.74248,0.44568,1.44752,1.05966,1.56385,0.0055734,0.0055734,0.0055734
15,2449.86,1.61225,1.24903,1.60679,0.81402,0.70453,0.7459,0.44935,1.46469,1.02846,1.56188,0.0054252,0.0054252,0.0054252
16,2607.74,1.59424,1.21946,1.58783,0.80117,0.71231,0.7641,0.44984,1.41907,1.03516,1.53715,0.005277,0.005277,0.005277
17,2766.25,1.59105,1.20355,1.58307,0.80492,0.73231,0.77155,0.46332,1.42287,0.99209,1.51732,0.0051288,0.0051288,0.0051288
18,2924.22,1.5603,1.18537,1.57073,0.81813,0.71485,0.77603,0.46371,1.40104,1.14311,1.49495,0.0049806,0.0049806,0.0049806
19,3084.98,1.56287,1.16604,1.55902,0.81966,0.73492,0.78587,0.48391,1.39079,0.93576,1.49641,0.0048324,0.0048324,0.0048324
20,3245.15,1.55214,1.15706,1.55263,0.8394,0.72619,0.78181,0.47004,1.40792,0.93828,1.5071,0.0046842,0.0046842,0.0046842
21,3407.28,1.51822,1.117,1.5285,0.84578,0.74876,0.78888,0.48763,1.38277,0.95032,1.48552,0.004536,0.004536,0.004536
22,3566.39,1.52288,1.12628,1.52507,0.82193,0.73921,0.78934,0.49207,1.35546,0.90091,1.4582,0.0043878,0.0043878,0.0043878
23,3727.27,1.50717,1.11312,1.53042,0.77879,0.75926,0.78718,0.48675,1.39588,0.91779,1.47986,0.0042396,0.0042396,0.0042396
24,3888.66,1.49767,1.09155,1.51292,0.82561,0.76122,0.79559,0.50082,1.36213,0.8921,1.47873,0.0040914,0.0040914,0.0040914
25,4052.53,1.48865,1.0629,1.49879,0.848,0.74745,0.79905,0.50295,1.36106,0.8797,1.47601,0.0039432,0.0039432,0.0039432
26,4212.07,1.49282,1.07851,1.51784,0.80222,0.78302,0.80668,0.50394,1.3369,0.8536,1.46156,0.003795,0.003795,0.003795
27,4369.34,1.48354,1.04859,1.48821,0.84953,0.75933,0.80371,0.50776,1.34992,0.86716,1.45825,0.0036468,0.0036468,0.0036468
28,4530.66,1.48357,1.05389,1.49988,0.85224,0.76939,0.8136,0.51447,1.35027,0.84605,1.44858,0.0034986,0.0034986,0.0034986
29,4693.96,1.46161,1.03591,1.48147,0.83661,0.7597,0.80195,0.51308,1.32088,0.82919,1.43352,0.0033504,0.0033504,0.0033504
30,4853.84,1.46072,1.02178,1.47819,0.84021,0.7811,0.81384,0.51013,1.32017,0.81982,1.44087,0.0032022,0.0032022,0.0032022
31,5015.11,1.4499,1.01232,1.47837,0.8397,0.78382,0.81812,0.52555,1.28961,0.8042,1.40673,0.003054,0.003054,0.003054
32,5178.35,1.43154,1.01312,1.46326,0.85129,0.78462,0.82684,0.51972,1.31406,0.80122,1.40755,0.0029058,0.0029058,0.0029058
33,5338.9,1.42401,0.99129,1.45561,0.78575,0.79933,0.81623,0.5228,1.29815,0.81256,1.4203,0.0027576,0.0027576,0.0027576
34,5504.26,1.43629,0.99045,1.46081,0.84126,0.76504,0.81075,0.52254,1.32083,0.81599,1.42174,0.0026094,0.0026094,0.0026094
35,5664.79,1.42828,0.98383,1.45243,0.83133,0.77843,0.8209,0.53603,1.29473,0.79797,1.40082,0.0024612,0.0024612,0.0024612
36,5825.35,1.39942,0.95731,1.4396,0.84915,0.77105,0.82446,0.53142,1.29303,0.78781,1.41343,0.002313,0.002313,0.002313
37,5986.11,1.39393,0.9602,1.43181,0.84331,0.77785,0.81254,0.5298,1.29517,0.79291,1.41499,0.0021648,0.0021648,0.0021648
38,6149.57,1.38287,0.94249,1.42387,0.83854,0.78032,0.82133,0.531,1.28434,0.76343,1.39523,0.0020166,0.0020166,0.0020166
39,6309.41,1.38067,0.93063,1.42131,0.84589,0.78267,0.82222,0.53783,1.28273,0.77555,1.4065,0.0018684,0.0018684,0.0018684
40,6472.78,1.37047,0.92952,1.41291,0.85632,0.77366,0.8203,0.53389,1.27408,0.77123,1.39722,0.0017202,0.0017202,0.0017202
41,6617.46,1.33196,0.8176,1.44815,0.83793,0.78763,0.82742,0.5453,1.25338,0.75217,1.38034,0.001572,0.001572,0.001572
42,6755.77,1.31299,0.79628,1.43979,0.84653,0.79294,0.83779,0.55512,1.2467,0.74292,1.37859,0.0014238,0.0014238,0.0014238
43,6897.23,1.30024,0.77975,1.42647,0.84832,0.80005,0.83942,0.56012,1.23752,0.73925,1.37049,0.0012756,0.0012756,0.0012756
44,7039.52,1.28905,0.77191,1.41494,0.83671,0.80148,0.84323,0.55535,1.23964,0.72869,1.36852,0.0011274,0.0011274,0.0011274
45,7179.69,1.28011,0.75677,1.41063,0.83102,0.80166,0.84593,0.55991,1.24042,0.71927,1.3719,0.0009792,0.0009792,0.0009792
46,7318.63,1.25779,0.74189,1.39315,0.83999,0.80434,0.84342,0.5592,1.23355,0.71277,1.3661,0.000831,0.000831,0.000831
47,7461.58,1.25264,0.72945,1.3928,0.84341,0.80383,0.84399,0.56583,1.22939,0.71609,1.36602,0.0006828,0.0006828,0.0006828
48,7602.53,1.24071,0.72583,1.38146,0.82072,0.81766,0.84243,0.56287,1.22569,0.71149,1.36304,0.0005346,0.0005346,0.0005346
49,7743.03,1.23137,0.70969,1.38052,0.86775,0.78485,0.84923,0.56902,1.21982,0.69719,1.35708,0.0003864,0.0003864,0.0003864
50,7881.4,1.22227,0.70638,1.36283,0.8485,0.80506,0.85035,0.56914,1.22307,0.70075,1.36128,0.0002382,0.0002382,0.0002382
